T_approx_mK	StartTime	EndTime	T_avg_mK	T_min_mK	T_max_mK	T_stdev_mK
20	735998.475081019	736014.782071759	21.9706375275296	15.754882	101.095961	7.4371551497823
300	736020.612141204	736025.570289352	294.23192557481	290.174239	312.473179	2.39912168928252
320	736014.810972222	736018.886944444	316.562484810821	272.892727	340.246174	3.87529380183368
510	736026.6035891	736029.675844907	515.814251646626	479.714671	548.860555	15.461093976346
620	736033.727766204	736036.459699074	623.653049596687	615.366433	696.282116	7.06554605174962
750	736036.698148148	736039.891134259	745.310753653952	729.109618	828.34491	13.3717627226724
910	736040.032962963	736043.3990625	914.888225979503	900.96107	962.248183	8.1221356100408
1110	736043.870775463	736046.81599537	1102.06656054047	1085.418057	1129.112602	10.8173710835432
